# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_900156305.1	GCF_900156304.1	Primary Assembly	2939	2939
CDS	without_protein	GCF_900156305.1	GCF_900156304.1	Primary Assembly	na	10
gene	RNase_P_RNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	1	1
gene	ncRNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	2	2
gene	protein_coding	GCF_900156305.1	GCF_900156304.1	Primary Assembly	2939	2939
gene	pseudogene	GCF_900156305.1	GCF_900156304.1	Primary Assembly	10	10
gene	rRNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	6	6
gene	tRNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	56	56
gene	tmRNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_900156305.1	GCF_900156304.1	Primary Assembly	na	1
ncRNA	other	GCF_900156305.1	GCF_900156304.1	Primary Assembly	na	2
rRNA		GCF_900156305.1	GCF_900156304.1	Primary Assembly	na	6
tRNA		GCF_900156305.1	GCF_900156304.1	Primary Assembly	na	56
tmRNA		GCF_900156305.1	GCF_900156304.1	Primary Assembly	na	1
