# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_007988965.1	GCF_007988975.1	Primary Assembly	3163	3163
CDS	without_protein	GCF_007988965.1	GCF_007988975.1	Primary Assembly	na	19
gene	RNase_P_RNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	1	1
gene	ncRNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	2	2
gene	protein_coding	GCF_007988965.1	GCF_007988975.1	Primary Assembly	3163	3163
gene	pseudogene	GCF_007988965.1	GCF_007988975.1	Primary Assembly	19	19
gene	rRNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	2	2
gene	tRNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	24	24
gene	tmRNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_007988965.1	GCF_007988975.1	Primary Assembly	na	1
ncRNA	other	GCF_007988965.1	GCF_007988975.1	Primary Assembly	na	2
rRNA		GCF_007988965.1	GCF_007988975.1	Primary Assembly	na	2
tRNA		GCF_007988965.1	GCF_007988975.1	Primary Assembly	na	24
tmRNA		GCF_007988965.1	GCF_007988975.1	Primary Assembly	na	1
