# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_000724775.3	GCF_000724785.3	Primary Assembly	4643	4652
CDS	without_protein	GCF_000724775.3	GCF_000724785.3	Primary Assembly	na	56
gene	RNase_P_RNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	1	1
gene	SRP_RNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	1	1
gene	ncRNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	2	2
gene	protein_coding	GCF_000724775.3	GCF_000724785.3	Primary Assembly	4652	4652
gene	pseudogene	GCF_000724775.3	GCF_000724785.3	Primary Assembly	56	56
gene	rRNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	42	42
gene	tRNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	107	107
gene	tmRNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_000724775.3	GCF_000724785.3	Primary Assembly	na	1
ncRNA	other	GCF_000724775.3	GCF_000724785.3	Primary Assembly	na	2
rRNA		GCF_000724775.3	GCF_000724785.3	Primary Assembly	na	42
tRNA		GCF_000724775.3	GCF_000724785.3	Primary Assembly	na	107
tmRNA		GCF_000724775.3	GCF_000724785.3	Primary Assembly	na	1
