# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_018406465.1	GCF_018406475.1	Primary Assembly	2802	2816
CDS	without_protein	GCF_018406465.1	GCF_018406475.1	Primary Assembly	na	30
gene	RNase_P_RNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	1	1
gene	ncRNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	1	1
gene	protein_coding	GCF_018406465.1	GCF_018406475.1	Primary Assembly	2816	2816
gene	pseudogene	GCF_018406465.1	GCF_018406475.1	Primary Assembly	30	30
gene	rRNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	15	15
gene	tRNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	44	44
gene	tmRNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_018406465.1	GCF_018406475.1	Primary Assembly	na	1
ncRNA	other	GCF_018406465.1	GCF_018406475.1	Primary Assembly	na	1
rRNA		GCF_018406465.1	GCF_018406475.1	Primary Assembly	na	15
tRNA		GCF_018406465.1	GCF_018406475.1	Primary Assembly	na	44
tmRNA		GCF_018406465.1	GCF_018406475.1	Primary Assembly	na	1
