# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_025149465.1	GCF_025149475.1	Primary Assembly	2229	2299
CDS	without_protein	GCF_025149465.1	GCF_025149475.1	Primary Assembly	na	39
gene	RNase_P_RNA	GCF_025149465.1	GCF_025149475.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_025149465.1	GCF_025149475.1	Primary Assembly	1	1
gene	protein_coding	GCF_025149465.1	GCF_025149475.1	Primary Assembly	2299	2299
gene	pseudogene	GCF_025149465.1	GCF_025149475.1	Primary Assembly	39	39
gene	rRNA	GCF_025149465.1	GCF_025149475.1	Primary Assembly	21	21
gene	tRNA	GCF_025149465.1	GCF_025149475.1	Primary Assembly	58	58
gene	tmRNA	GCF_025149465.1	GCF_025149475.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_025149465.1	GCF_025149475.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_025149465.1	GCF_025149475.1	Primary Assembly	na	1
rRNA		GCF_025149465.1	GCF_025149475.1	Primary Assembly	na	21
tRNA		GCF_025149465.1	GCF_025149475.1	Primary Assembly	na	58
tmRNA		GCF_025149465.1	GCF_025149475.1	Primary Assembly	na	1
