# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_004367585.1	GCF_004367595.1	Primary Assembly	3668	3671
CDS	without_protein	GCF_004367585.1	GCF_004367595.1	Primary Assembly	na	48
gene	RNase_P_RNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	1	1
gene	ncRNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	1	1
gene	protein_coding	GCF_004367585.1	GCF_004367595.1	Primary Assembly	3671	3671
gene	pseudogene	GCF_004367585.1	GCF_004367595.1	Primary Assembly	48	48
gene	rRNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	28	28
gene	tRNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	65	65
gene	tmRNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_004367585.1	GCF_004367595.1	Primary Assembly	na	1
ncRNA	other	GCF_004367585.1	GCF_004367595.1	Primary Assembly	na	1
rRNA		GCF_004367585.1	GCF_004367595.1	Primary Assembly	na	28
tRNA		GCF_004367585.1	GCF_004367595.1	Primary Assembly	na	65
tmRNA		GCF_004367585.1	GCF_004367595.1	Primary Assembly	na	1
