# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_002884495.1	GCF_002884515.1	Primary Assembly	3579	3579
CDS	without_protein	GCF_002884495.1	GCF_002884515.1	Primary Assembly	na	51
gene	RNase_P_RNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	1	1
gene	ncRNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	3	3
gene	protein_coding	GCF_002884495.1	GCF_002884515.1	Primary Assembly	3579	3579
gene	pseudogene	GCF_002884495.1	GCF_002884515.1	Primary Assembly	51	51
gene	rRNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	37	37
gene	tRNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	116	116
gene	tmRNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_002884495.1	GCF_002884515.1	Primary Assembly	na	1
ncRNA	other	GCF_002884495.1	GCF_002884515.1	Primary Assembly	na	3
rRNA		GCF_002884495.1	GCF_002884515.1	Primary Assembly	na	37
tRNA		GCF_002884495.1	GCF_002884515.1	Primary Assembly	na	116
tmRNA		GCF_002884495.1	GCF_002884515.1	Primary Assembly	na	1
