# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_003049645.1	GCF_003049655.1	Primary Assembly	3279	3279
CDS	without_protein	GCF_003049645.1	GCF_003049655.1	Primary Assembly	na	22
gene	RNase_P_RNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	1	1
gene	ncRNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	2	2
gene	protein_coding	GCF_003049645.1	GCF_003049655.1	Primary Assembly	3279	3279
gene	pseudogene	GCF_003049645.1	GCF_003049655.1	Primary Assembly	22	22
gene	rRNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	28	28
gene	tRNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	71	71
gene	tmRNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_003049645.1	GCF_003049655.1	Primary Assembly	na	1
ncRNA	other	GCF_003049645.1	GCF_003049655.1	Primary Assembly	na	2
rRNA		GCF_003049645.1	GCF_003049655.1	Primary Assembly	na	28
tRNA		GCF_003049645.1	GCF_003049655.1	Primary Assembly	na	71
tmRNA		GCF_003049645.1	GCF_003049655.1	Primary Assembly	na	1
