# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_008807035.1	GCF_008807045.1	Primary Assembly	3961	3970
CDS	without_protein	GCF_008807035.1	GCF_008807045.1	Primary Assembly	na	86
gene	RNase_P_RNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	1	1
gene	ncRNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	2	2
gene	protein_coding	GCF_008807035.1	GCF_008807045.1	Primary Assembly	3970	3970
gene	pseudogene	GCF_008807035.1	GCF_008807045.1	Primary Assembly	86	86
gene	rRNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	30	30
gene	tRNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	75	75
gene	tmRNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_008807035.1	GCF_008807045.1	Primary Assembly	na	1
ncRNA	other	GCF_008807035.1	GCF_008807045.1	Primary Assembly	na	2
rRNA		GCF_008807035.1	GCF_008807045.1	Primary Assembly	na	30
tRNA		GCF_008807035.1	GCF_008807045.1	Primary Assembly	na	75
tmRNA		GCF_008807035.1	GCF_008807045.1	Primary Assembly	na	1
