# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_001274945.1	GCF_001274985.1	Primary Assembly	4461	4461
CDS	without_protein	GCF_001274945.1	GCF_001274985.1	Primary Assembly	na	107
gene	RNase_P_RNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	1	1
gene	ncRNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	2	2
gene	protein_coding	GCF_001274945.1	GCF_001274985.1	Primary Assembly	4461	4461
gene	pseudogene	GCF_001274945.1	GCF_001274985.1	Primary Assembly	107	107
gene	rRNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	5	5
gene	tRNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	55	55
gene	tmRNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_001274945.1	GCF_001274985.1	Primary Assembly	na	1
ncRNA	other	GCF_001274945.1	GCF_001274985.1	Primary Assembly	na	2
rRNA		GCF_001274945.1	GCF_001274985.1	Primary Assembly	na	5
tRNA		GCF_001274945.1	GCF_001274985.1	Primary Assembly	na	55
tmRNA		GCF_001274945.1	GCF_001274985.1	Primary Assembly	na	1
