# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_015097455.1	GCF_015097505.1	Primary Assembly	2924	2928
CDS	without_protein	GCF_015097455.1	GCF_015097505.1	Primary Assembly	na	44
gene	RNase_P_RNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	1	1
gene	ncRNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	1	1
gene	protein_coding	GCF_015097455.1	GCF_015097505.1	Primary Assembly	2928	2928
gene	pseudogene	GCF_015097455.1	GCF_015097505.1	Primary Assembly	44	44
gene	rRNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	27	27
gene	tRNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	66	66
gene	tmRNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_015097455.1	GCF_015097505.1	Primary Assembly	na	1
ncRNA	other	GCF_015097455.1	GCF_015097505.1	Primary Assembly	na	1
rRNA		GCF_015097455.1	GCF_015097505.1	Primary Assembly	na	27
tRNA		GCF_015097455.1	GCF_015097505.1	Primary Assembly	na	66
tmRNA		GCF_015097455.1	GCF_015097505.1	Primary Assembly	na	1
