# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_002370195.2	GCF_002370205.2	Primary Assembly	3124	3265
CDS	without_protein	GCF_002370195.2	GCF_002370205.2	Primary Assembly	na	71
gene	RNase_P_RNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	1	1
gene	SRP_RNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	1	1
gene	ncRNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	2	2
gene	protein_coding	GCF_002370195.2	GCF_002370205.2	Primary Assembly	3265	3265
gene	pseudogene	GCF_002370195.2	GCF_002370205.2	Primary Assembly	71	71
gene	rRNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	27	27
gene	tRNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	83	83
gene	tmRNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_002370195.2	GCF_002370205.2	Primary Assembly	na	1
ncRNA	other	GCF_002370195.2	GCF_002370205.2	Primary Assembly	na	2
rRNA		GCF_002370195.2	GCF_002370205.2	Primary Assembly	na	27
tRNA		GCF_002370195.2	GCF_002370205.2	Primary Assembly	na	83
tmRNA		GCF_002370195.2	GCF_002370205.2	Primary Assembly	na	1
