# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_003459085.1	GCF_003459095.1	Primary Assembly	3434	3434
CDS	without_protein	GCF_003459085.1	GCF_003459095.1	Primary Assembly	na	12
gene	RNase_P_RNA	GCF_003459085.1	GCF_003459095.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_003459085.1	GCF_003459095.1	Primary Assembly	1	1
gene	protein_coding	GCF_003459085.1	GCF_003459095.1	Primary Assembly	3434	3434
gene	pseudogene	GCF_003459085.1	GCF_003459095.1	Primary Assembly	12	12
gene	rRNA	GCF_003459085.1	GCF_003459095.1	Primary Assembly	3	3
gene	tRNA	GCF_003459085.1	GCF_003459095.1	Primary Assembly	46	46
gene	tmRNA	GCF_003459085.1	GCF_003459095.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_003459085.1	GCF_003459095.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_003459085.1	GCF_003459095.1	Primary Assembly	na	1
rRNA		GCF_003459085.1	GCF_003459095.1	Primary Assembly	na	3
tRNA		GCF_003459085.1	GCF_003459095.1	Primary Assembly	na	46
tmRNA		GCF_003459085.1	GCF_003459095.1	Primary Assembly	na	1
