# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_012317185.1	GCF_012317195.1	Primary Assembly	4480	4494
CDS	without_protein	GCF_012317185.1	GCF_012317195.1	Primary Assembly	na	66
gene	RNase_P_RNA	GCF_012317185.1	GCF_012317195.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_012317185.1	GCF_012317195.1	Primary Assembly	1	1
gene	protein_coding	GCF_012317185.1	GCF_012317195.1	Primary Assembly	4494	4494
gene	pseudogene	GCF_012317185.1	GCF_012317195.1	Primary Assembly	66	66
gene	rRNA	GCF_012317185.1	GCF_012317195.1	Primary Assembly	15	15
gene	tRNA	GCF_012317185.1	GCF_012317195.1	Primary Assembly	48	48
gene	tmRNA	GCF_012317185.1	GCF_012317195.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_012317185.1	GCF_012317195.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_012317185.1	GCF_012317195.1	Primary Assembly	na	1
rRNA		GCF_012317185.1	GCF_012317195.1	Primary Assembly	na	15
tRNA		GCF_012317185.1	GCF_012317195.1	Primary Assembly	na	48
tmRNA		GCF_012317185.1	GCF_012317195.1	Primary Assembly	na	1
