# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_002081995.1	GCF_002082005.1	Primary Assembly	3177	3208
CDS	without_protein	GCF_002081995.1	GCF_002082005.1	Primary Assembly	na	48
gene	RNase_P_RNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	1	1
gene	ncRNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	2	2
gene	protein_coding	GCF_002081995.1	GCF_002082005.1	Primary Assembly	3208	3208
gene	pseudogene	GCF_002081995.1	GCF_002082005.1	Primary Assembly	48	48
gene	rRNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	21	21
gene	tRNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	59	59
gene	tmRNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_002081995.1	GCF_002082005.1	Primary Assembly	na	1
ncRNA	other	GCF_002081995.1	GCF_002082005.1	Primary Assembly	na	2
rRNA		GCF_002081995.1	GCF_002082005.1	Primary Assembly	na	21
tRNA		GCF_002081995.1	GCF_002082005.1	Primary Assembly	na	59
tmRNA		GCF_002081995.1	GCF_002082005.1	Primary Assembly	na	1
