# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_000271325.1	GCF_000271345.1	Primary Assembly	3843	3858
CDS	without_protein	GCF_000271325.1	GCF_000271345.1	Primary Assembly	na	39
gene	RNase_P_RNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	1	1
gene	ncRNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	2	2
gene	protein_coding	GCF_000271325.1	GCF_000271345.1	Primary Assembly	3858	3858
gene	pseudogene	GCF_000271325.1	GCF_000271345.1	Primary Assembly	39	39
gene	rRNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	36	36
gene	tRNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	96	96
gene	tmRNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_000271325.1	GCF_000271345.1	Primary Assembly	na	1
ncRNA	other	GCF_000271325.1	GCF_000271345.1	Primary Assembly	na	2
rRNA		GCF_000271325.1	GCF_000271345.1	Primary Assembly	na	36
tRNA		GCF_000271325.1	GCF_000271345.1	Primary Assembly	na	96
tmRNA		GCF_000271325.1	GCF_000271345.1	Primary Assembly	na	1
