# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_008973485.1	GCF_008973495.1	Primary Assembly	3997	4019
CDS	without_protein	GCF_008973485.1	GCF_008973495.1	Primary Assembly	na	72
gene	RNase_P_RNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	1	1
gene	ncRNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	2	2
gene	protein_coding	GCF_008973485.1	GCF_008973495.1	Primary Assembly	4019	4019
gene	pseudogene	GCF_008973485.1	GCF_008973495.1	Primary Assembly	72	72
gene	rRNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	33	33
gene	tRNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	77	77
gene	tmRNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_008973485.1	GCF_008973495.1	Primary Assembly	na	1
ncRNA	other	GCF_008973485.1	GCF_008973495.1	Primary Assembly	na	2
rRNA		GCF_008973485.1	GCF_008973495.1	Primary Assembly	na	33
tRNA		GCF_008973485.1	GCF_008973495.1	Primary Assembly	na	77
tmRNA		GCF_008973485.1	GCF_008973495.1	Primary Assembly	na	1
