# Feature	Class	Full Assembly	Assembly-unit accession	Assembly-unit name	Unique Ids	Placements
CDS	with_protein	GCF_000829195.1	GCF_000829205.1	Primary Assembly	3428	3460
CDS	without_protein	GCF_000829195.1	GCF_000829205.1	Primary Assembly	na	46
gene	RNase_P_RNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	1	1
gene	SRP_RNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	1	1
gene	ncRNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	2	2
gene	protein_coding	GCF_000829195.1	GCF_000829205.1	Primary Assembly	3460	3460
gene	pseudogene	GCF_000829195.1	GCF_000829205.1	Primary Assembly	46	46
gene	rRNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	22	22
gene	tRNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	83	83
gene	tmRNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	1	1
ncRNA	RNase_P_RNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	na	1
ncRNA	SRP_RNA	GCF_000829195.1	GCF_000829205.1	Primary Assembly	na	1
ncRNA	other	GCF_000829195.1	GCF_000829205.1	Primary Assembly	na	2
rRNA		GCF_000829195.1	GCF_000829205.1	Primary Assembly	na	22
tRNA		GCF_000829195.1	GCF_000829205.1	Primary Assembly	na	83
tmRNA		GCF_000829195.1	GCF_000829205.1	Primary Assembly	na	1
